Date,Time,Host,Final,Competitor 1 ,Flask,T0 Dilution Blue,T0 Blue,T0 Blue PFU/ml,T0 Clear Diltuion,T0 Clear,T0 Clear PFU/ml,T Final Dilution Blue,Tf Blue ,Tf PFU/ml Blue,Tf Dilution Clear,Tf Clear,Tf PFU/ml Clear,Mb (per h),Mc (per h),Wapprox,Mbar,W=Mb/Mc,W=Mc/Mb,r (b-c),r (c-b)
Jul_12_2012,4hr,ECC4,,G9-11.3,2,0.01,167,16700,0.01,188,18800,0.01,54,5400,0.0001,31,310000,-0.28,0.70068,2.79999,0.5461,-0.4,-2.48,-0.9829,0.9829
Jul_12_2012,4hr,ECC4,,G9-11.3,3,0.01,155,15500,0.01,154,15400,0.01,40,4000,0.0001,91,910000,-0.34,1.01977,2.60422,0.8468,-0.33,-3.01,-1.3584,1.3584
Jul_12_2012,4hr,ECC4,,G9-11.3,4,0.01,131,13100,0.01,160,16000,0.01,44,4400,0.0001,24,240000,-0.27,0.67701,2.78521,0.532,-0.4,-2.48,-0.9498,0.9498
Jul_12_2012,4hr,ECC4,,G9-11.3,5,,,,,,,,,,,,,,,,,,,,
Jul_12_2012,4hr,ECC4,,G9-11.3,6,0.01,132,13200,0.01,173,17300,0.01,27,2700,0.00001,25,2500000,-0.4,1.24333,2.48848,1.1018,-0.32,-3.13,-1.6401,1.6401
Jul_12_2012,4hr,ECC4,,G9-11.3,7,0.01,140,14000,0.01,152,15200,0.01,31,3100,0.001,107,107000,-0.38,0.48788,3.60634,0.3318,-0.77,-1.29,-0.8648,0.8648
Jul_12_2012,4hr,ECC4,,G9-11.3,8,0.01,150,15000,0.01,150,15000,0.01,72,7200,0.001,74,74000,-0.18,0.399,3.34,0.2489,-0.46,-2.17,-0.5825,0.5825
Jul_12_2012,4hr,606,,cI26,1,,,,,,,,,,,,,,,,,,,,
Jul_12_2012,4hr,606,,cI26,2,0.01,149,14900,0.01,154,15400,0.001,72,72000,0.001,147,147000,0.39,0.56402,1.34418,0.4945,0.7,1.43,-0.1702,0.1702
Jul_12_2012,4hr,606,,cI26,3,0.01,135,13500,0.01,139,13900,0.001,95,95000,0.001,185,185000,0.49,0.64712,1.27419,0.5811,0.75,1.33,-0.1593,0.1593
Jul_12_2012,4hr,606,,cI26,4,0.01,159,15900,0.01,164,16400,0.001,102,102000,0.001,201,201000,0.46,0.62651,1.28918,0.5597,0.74,1.35,-0.1618,0.1618
Jul_12_2012,4hr,606,,cI26,5,0.01,152,15200,0.01,147,14700,0.001,90,90000,0.001,143,143000,0.44,0.56875,1.24181,0.5133,0.78,1.28,-0.1241,0.1241
Jul_12_2012,4hr,606,,cI26,6,0.01,151,15100,0.01,178,17800,0.001,109,109000,0.001,165,165000,0.49,0.55669,1.11799,0.5299,0.89,1.13,-0.0625,0.0625
Jul_12_2012,4hr,606,,cI26,7,0.01,133,13300,0.01,157,15700,0.001,102,102000,0.001,181,181000,0.51,0.61121,1.17893,0.5695,0.83,1.2,-0.1019,0.1019
Jul_12_2012,4hr,606,,cI26,8,0.01,131,13100,0.01,144,14400,0.001,144,144000,0.001,270,270000,0.6,0.7328,1.19692,0.6779,0.82,1.22,-0.1335,0.1335
Jul_12_2012,4hr,ECC4,,cI26,1,0.01,130,13000,0.01,144,14400,0.01,43,4300,0.01,36,3600,-0.28,-0.34657,1.22511,-0.3109,0.8,1.25,0.07,-0.07
Jul_12_2012,4hr,ECC4,,cI26,2,0.01,122,12200,0.01,115,11500,0.01,26,2600,0.01,31,3100,-0.39,-0.32774,0.8351,-0.3563,1.18,0.85,-0.0587,0.0587
Jul_12_2012,4hr,ECC4,,cI26,3,0.01,152,15200,0.01,164,16400,0.01,24,2400,0.01,27,2700,-0.46,-0.45101,0.97708,-0.456,1.02,0.98,-0.0104,0.0104
Jul_12_2012,4hr,ECC4,,cI26,4,0.01,127,12700,0.01,140,14000,0.01,26,2600,0.01,33,3300,-0.4,-0.36128,0.90663,-0.3774,1.1,0.91,-0.0352,0.0352
Jul_12_2012,4hr,ECC4,,cI26,5,0.01,145,14500,0.01,146,14600,0.01,31,3100,0.01,36,3600,-0.39,-0.35002,0.90286,-0.3672,1.1,0.91,-0.0357,0.0357
Jul_12_2012,4hr,ECC4,,cI26,6,0.01,130,13000,0.01,149,14900,0.01,30,3000,0.01,28,2800,-0.37,-0.41794,1.13077,-0.3927,0.88,1.14,0.0514,-0.0514
Jul_12_2012,4hr,ECC4,,cI26,7,0.01,123,12300,0.01,131,13100,0.01,34,3400,0.01,30,3000,-0.32,-0.3685,1.13651,-0.3446,0.87,1.15,0.047,-0.047
Jul_12_2012,4hr,ECC4,,cI26,8,0.01,113,11300,0.01,122,12200,0.01,14,1400,0.01,21,2100,-0.52,-0.43987,0.82732,-0.4761,1.19,0.84,-0.0822,0.0822
