date,rep,treatment,genotype,stat_label,dil_t0,count_t0,titer_t0,dil_t2,count_t2,titer_t2,rate,rate_per_h,rate_corrected,rate_corrected_neg,rate_corrected_neg_cell
Sept212015,5,mM9,1A,xanc,-3,227,2.02E+05,-3,140,1.40E+05,-0.37,-0.33
Sept212015,6,mM9,1A,xanc,-3,201,1.79E+05,-3,150,1.50E+05,-0.17,-0.16
Sept212015,7,mM9,1A,xanc,-3,224,1.99E+05,-3,152,1.52E+05,-0.27,-0.24
Sept212015,8,mM9,1A,xanc,-3,241,2.14E+05,-3,124,1.24E+05,-0.55,-0.49
Sept212015,9,mM9,1A,xanc,-3,224,1.99E+05,-3,132,1.32E+05,-0.41,-0.37
Sept212015,10,mM9,1A,xanc,-3,186,1.65E+05,-3,116,1.16E+05,-0.35,-0.32
Sept212015,11,mM9,1A,xanc,-3,242,2.15E+05,-3,117,1.17E+05,-0.61,-0.55
Sept212015,12,mM9,1A,xanc,-3,214,1.90E+05,-3,115,1.15E+05,-0.50,-0.45,,,
Oct022015,3,anc,A12,A12,-3,379,3.37E+05,-2,58,5.80E+03,-4.06,-3.64,-3.4104,3.4104,3.96096E-08
Oct022015,4,anc,A12,A12,-3,336,2.99E+05,-2,92,9.20E+03,-3.48,-3.12,-2.9407,2.9407,3.41546E-08
Oct022015,3,anc,A7,A7,-3,328,2.92E+05,-2,138,1.38E+04,-3.05,-2.73,-2.7028,2.7028,3.13916E-08
Oct022015,4,anc,A7,A7,-3,314,2.79E+05,-2,144,1.44E+04,-2.96,-2.65,-2.4740,2.4740,2.87338E-08
Oct022015,3,anc,B2,B2,-3,260,2.31E+05,-2,93,9.30E+03,-3.21,-2.88,-2.6386,2.6386,3.06454E-08
Oct022015,4,anc,B2,B2,-3,230,2.04E+05,-2,92,9.20E+03,-3.10,-2.78,-2.5845,2.5845,3.00177E-08
Oct022015,3,anc,D9,D9,-3,195,1.73E+05,-2,86,8.60E+03,-3.00,-2.69,-2.5115,2.5115,2.91693E-08
Oct022015,4,anc,D9,D9,-3,247,2.20E+05,-2,67,6.70E+03,-3.49,-3.12,-2.7173,2.7173,3.15603E-08
Oct022015,3,anc,E4,E4,-3,297,2.64E+05,-2,156,1.56E+04,-2.83,-2.53,-2.3416,2.3416,2.71966E-08
Oct022015,4,anc,E4,E4,-3,246,2.19E+05,-2,143,1.43E+04,-2.73,-2.44,-2.4776,2.4776,2.87764E-08
Oct022015,3,anc,G9,G9,-3,213,1.89E+05,-2,98,9.80E+03,-2.96,-2.65,-2.5322,2.5322,2.94097E-08
Oct022015,4,anc,G9,G9,-3,228,2.03E+05,-2,97,9.70E+03,-3.04,-2.72,-2.5965,2.5965,3.01564E-08
Oct022015,13,anc,1A,xanc_a,-3,320,2.84E+05,-3,167,1.67E+05,-0.53,-0.48,-0.2028,0.2028,2.35595E-09
Oct022015,14,anc,1A,xanc_a,-3,293,2.60E+05,-3,189,1.89E+05,-0.32,-0.29,-0.0958,0.0958,1.11229E-09
Oct022015,15,anc,1A,xanc_b,-3,338,3.00E+05,-3,191,1.91E+05,-0.45,-0.41,-0.0844,0.0844,9.79889E-10
Oct022015,16,anc,1A,xanc_b,-3,307,2.73E+05,-3,179,1.79E+05,-0.42,-0.38,-0.0525,0.0525,6.10274E-10
Oct022015,17,anc,1A,xanc_c,-3,336,2.99E+05,-3,211,2.11E+05,-0.35,-0.31,0.0048,-0.0048,-5.58134E-11
Oct022015,18,anc,1A,xanc_c,-3,350,3.11E+05,-3,193,1.93E+05,-0.48,-0.43,-0.1713,0.1713,1.98971E-09
Oct022015,19,anc,1A,xanc_d,-3,367,3.26E+05,-3,216,2.16E+05,-0.41,-0.37,-0.2171,0.2171,2.52121E-09
Oct022015,20,anc,1A,xanc_d,-3,330,2.93E+05,-3,190,1.90E+05,-0.43,-0.39,-0.1201,0.1201,1.39445E-09
Oct022015,21,anc,1A,xanc_e,-3,324,2.88E+05,-3,185,1.85E+05,-0.44,-0.40,-0.3466,0.3466,4.0254E-09
Oct022015,22,anc,1A,xanc_e,-3,326,2.90E+05,-3,222,2.22E+05,-0.27,-0.24,-0.0387,0.0387,4.49238E-10
Oct022015,23,anc,1A,xanc_f,-3,316,2.81E+05,-3,203,2.03E+05,-0.32,-0.29,-0.1456,0.1456,1.69148E-09
Oct022015,24,anc,1A,xanc_f,-3,357,2.88E+05,-3,194,1.94E+05,-0.40,-0.35,-0.3364,0.3364,3.90748E-09
Oct022015,3,evo,A12,A12,-3,324,2.96E+05,-3,171,1.71E+05,-0.55,-0.49,-0.2642,0.2642,3.06897E-09
