Date,Time,Host,Final,Competitor 1 ,Flask,Mb (per h),Mc (per h),Mbar,r (b-c),r (c-b),label,sel_rate,growth
Feb_06_2013,8hr,ECC4,yes,A7-10.2,2,0,0.98529,0.562,-0.9858,0.9858,t,0.9858,0.98529
Feb_06_2013,8hr,ECC4,yes,A7-10.2,3,0.02,0.98153,0.6252,-0.9662,0.9662,t,0.9662,0.98153
Feb_06_2013,8hr,ECC4,yes,A7-10.2,4,-0.05,1.0942,0.71,-1.1414,1.1414,t,1.1414,1.0942
Feb_06_2013,8hr,ECC4,yes,A7-10.2,5,-0.18,1.12913,0.7755,-1.31,1.31,t,1.31,1.12913
Feb_06_2013,8hr,ECC4,yes,A7-10.2,6,-0.08,1.29272,0.8785,-1.3747,1.3747,t,1.3747,1.29272
Feb_06_2013,8hr,ECC4,yes,A7-10.2,7,-0.04,0.95354,0.6361,-0.9962,0.9962,t,0.9962,0.95354
Feb_06_2013,8hr,ECC4,yes,A7-10.2,8,-0.26,1.19698,0.8541,-1.4605,1.4605,t,1.4605,1.19698
Feb_24_2013,8hr,606,yes,D9-8.2,1,0.69,1.93422,1.5545,-1.2433,1.2433,t,1.2433,1.93422
Feb_24_2013,8hr,606,yes,D9-8.2,2,0.46,1.94493,1.5133,-1.4863,1.4863,t,1.4863,1.94493
Feb_24_2013,8hr,606,yes,D9-8.2,3,0.55,1.96408,1.5768,-1.4183,1.4183,t,1.4183,1.96408
Feb_24_2013,8hr,606,yes,D9-8.2,4,0.6,1.82502,1.4908,-1.223,1.223,t,1.223,1.82502
Feb_24_2013,8hr,606,yes,D9-8.2,5,0.49,1.86334,1.4835,-1.3736,1.3736,t,1.3736,1.86334
Feb_24_2013,8hr,606,yes,D9-8.2,6,0.53,1.86131,1.522,-1.3286,1.3286,t,1.3286,1.86131
Feb_24_2013,8hr,606,yes,D9-8.2,7,0.52,1.90583,1.5019,-1.3907,1.3907,t,1.3907,1.90583
Feb_24_2013,8hr,606,yes,D9-8.2,8,0.62,1.81006,1.4628,-1.1862,1.1862,t,1.1862,1.81006
Feb_24_2013,8hr,ECC4,yes,D9-8.2,1,-0.21,0.51367,0.2003,-0.7188,0.7188,t,0.7188,0.51367
Feb_24_2013,8hr,ECC4,yes,D9-8.2,2,-0.26,0.50253,0.1067,-0.7625,0.7625,t,0.7625,0.50253
Feb_24_2013,8hr,ECC4,yes,D9-8.2,3,-0.15,0.5516,0.1887,-0.6977,0.6977,t,0.6977,0.5516
Feb_24_2013,8hr,ECC4,yes,D9-8.2,4,-0.14,0.86622,0.5103,-1.0088,1.0088,t,1.0088,0.86622
Feb_24_2013,8hr,ECC4,yes,D9-8.2,5,-0.27,0.75141,0.3201,-1.0197,1.0197,t,1.0197,0.75141
Feb_24_2013,8hr,ECC4,yes,D9-8.2,6,-0.25,0.69509,0.3175,-0.9429,0.9429,t,0.9429,0.69509
Feb_24_2013,8hr,ECC4,yes,D9-8.2,7,-0.24,0.7463,0.3355,-0.9912,0.9912,t,0.9912,0.7463
Feb_24_2013,8hr,ECC4,yes,D9-8.2,8,-0.12,0.61161,0.2064,-0.7334,0.7334,t,0.7334,0.61161
Aug_17_2012,8hr,606,yes,B2-13.1,1,1.02,1.01237,1.014,0.0028,-0.0028,n,-0.0028,1.02
Aug_17_2012,8hr,606,yes,B2-13.1,2,0.99,0.98215,0.9871,0.0093,-0.0093,n,-0.0093,0.99
Aug_17_2012,8hr,606,yes,B2-13.1,3,0.98,1.08086,1.027,-0.1029,0.1029,n,0.1029,0.98
Aug_17_2012,8hr,606,yes,B2-13.1,4,1.05,1.05345,1.0508,-0.0044,0.0044,n,0.0044,1.05
Aug_17_2012,8hr,ECC4,yes,B2-13.1,1,0.04,0.35965,0.2686,-0.3228,0.3228,n,0.3228,0.04
Aug_17_2012,8hr,ECC4,yes,B2-13.1,2,-0.02,0.32262,0.2318,-0.3415,0.3415,n,0.3415,-0.02
Aug_17_2012,8hr,ECC4,yes,B2-13.1,3,0.01,0.42037,0.336,-0.4145,0.4145,n,0.4145,0.01
Aug_17_2012,8hr,ECC4,yes,B2-13.1,4,-0.04,0.33765,0.2491,-0.3797,0.3797,n,0.3797,-0.04
Oct_16_2012,8hr,606,yes,G9-11.3,1,0.41,0.94764,0.7116,-0.5343,0.5343,n,0.5343,0.41
Oct_16_2012,8hr,606,yes,G9-11.3,2,0.43,0.99672,0.7618,-0.5642,0.5642,n,0.5642,0.43
Oct_16_2012,8hr,606,yes,G9-11.3,3,0.39,1.00962,0.762,-0.6199,0.6199,n,0.6199,0.39
Oct_16_2012,8hr,606,yes,G9-11.3,4,0.44,1.00159,0.7758,-0.5615,0.5615,n,0.5615,0.44
Oct_16_2012,8hr,606,yes,G9-11.3,5,0.52,0.94037,0.7428,-0.4212,0.4212,n,0.4212,0.52
Oct_16_2012,8hr,606,yes,G9-11.3,6,0.42,0.99827,0.761,-0.5748,0.5748,n,0.5748,0.42
Oct_16_2012,8hr,606,yes,G9-11.3,7,0.51,1.00445,0.7719,-0.4955,0.4955,n,0.4955,0.51
Oct_16_2012,8hr,606,yes,G9-11.3,8,0.32,1.00886,0.7667,-0.6909,0.6909,n,0.6909,0.32
Oct_16_2012,8hr,ECC4,yes,G9-11.3,1,-0.05,1.15793,0.9231,-1.2107,1.2107,n,1.2107,-0.05
Oct_16_2012,8hr,ECC4,yes,G9-11.3,2,-0.01,1.18881,0.9601,-1.1945,1.1945,n,1.1945,-0.01
Oct_16_2012,8hr,ECC4,yes,G9-11.3,3,-0.29,1.1731,0.8777,-1.4642,1.4642,n,1.4642,-0.29
Oct_16_2012,8hr,ECC4,yes,G9-11.3,4,-0.15,1.03504,0.8006,-1.1872,1.1872,n,1.1872,-0.15
Oct_16_2012,8hr,ECC4,yes,G9-11.3,5,0.22,1.14828,0.8977,-0.9263,0.9263,n,0.9263,0.22
Oct_16_2012,8hr,ECC4,yes,G9-11.3,6,-0.05,1.13202,0.8874,-1.1819,1.1819,n,1.1819,-0.05
Oct_16_2012,8hr,ECC4,yes,G9-11.3,7,-0.33,1.09978,0.8708,-1.4288,1.4288,n,1.4288,-0.33
Oct_16_2012,8hr,ECC4,yes,G9-11.3,8,0.16,1.11676,0.818,-0.9616,0.9616,n,0.9616,0.16
Oct_26_2012,8hr,606,yes,A12-10.6,1,0.69,1.45103,1.0547,-0.7583,0.7583,n,0.7583,0.69
Oct_26_2012,8hr,606,yes,A12-10.6,2,0.81,1.37225,1.0142,-0.5653,0.5653,n,0.5653,0.81
Oct_26_2012,8hr,606,yes,A12-10.6,3,0.59,1.37526,0.9916,-0.7864,0.7864,n,0.7864,0.59
Oct_26_2012,8hr,606,yes,A12-10.6,4,0.78,1.46485,1.0943,-0.6845,0.6845,n,0.6845,0.78
Oct_26_2012,8hr,606,yes,A12-10.6,5,0.65,1.43343,1.083,-0.7839,0.7839,n,0.7839,0.65
Oct_26_2012,8hr,606,yes,A12-10.6,6,0.76,1.4188,1.0127,-0.66,0.66,n,0.66,0.76
Oct_26_2012,8hr,606,yes,A12-10.6,7,0.77,1.40148,0.9844,-0.6293,0.6293,n,0.6293,0.77
Oct_26_2012,8hr,606,yes,A12-10.6,8,0.68,1.41507,1.0507,-0.7383,0.7383,n,0.7383,0.68
Oct_26_2012,8hr,ECC4,yes,A12-10.6,1,-0.25,0.95567,0.6243,-1.2033,1.2033,n,1.2033,-0.25
Oct_26_2012,8hr,ECC4,yes,A12-10.6,2,-0.26,1.22734,0.8446,-1.4896,1.4896,n,1.4896,-0.26
